"date1","Reported_PrecipSum","Precip_MaxHourly_inState","Precip_Sum_Calc"
2012-06-13,0.556,0.32,0.485733556821377
2012-06-14,0,0,0
2012-06-15,0.00125,0.01,0.000714285714285714
2012-06-16,0,0,0
2012-06-17,0,0,0
2012-06-18,0,0,0
2012-06-19,0,0,0
2012-06-20,0,0,0
2012-06-21,0,0,0
2012-06-22,0.368,0.88,0.379026612276612
2012-06-23,0.162222222222222,0.28,0.185448179271709
2012-06-24,0.01875,0.04,0.02
2012-06-25,0.627,5.26,1.09720036201615
2012-06-26,0.00375,0.01,0.00238095238095238
2012-06-27,0,0.38,0.0584615384615385
2012-06-28,0,0.67,0.122651515151515
2012-06-29,0.015,0.2,0.0592797619047619
2012-06-30,0,1.5,0.262303113553114
2012-07-01,0.204,0.7,0.335358960483961
2012-07-02,0.02,0.02,0.00253246753246753
2012-07-03,0.00375,0.02,0.00272727272727273
2012-07-04,0.0922222222222222,0.23,0.122774184149184
2012-07-05,0,0,0
2012-07-06,0,0,0
2012-07-07,0.003,0.02,0.00595238095238095
2012-07-08,0,0,0
2012-07-09,0,0,0
2012-07-10,0,0,0
2012-07-11,0,0,0
2012-07-12,0,0,0
2012-07-13,0,0,0
2012-07-14,0.0122222222222222,0.06,0.0242948717948718
2012-07-15,0.498,0.73,0.630441394335512
2012-07-16,0.005,0.17,0.0134444444444444
2012-07-17,0,0,0
2012-07-18,0.322,1.48,0.371450549450549
2012-07-19,0.014,0.11,0.0226190476190476
2012-07-20,0.271,0.36,0.32556692710529
2012-07-21,0.001,0.01,0.000588235294117647
2012-07-22,0,0,0
2012-07-23,0.221,0.41,0.255376271876272
2012-07-24,0.068,0.38,0.0770811403508772
2012-07-25,0,0,0
2012-07-26,0.177,0.37,0.231319386985563
2012-07-27,0.07,0.21,0.0741292735042735
2012-07-28,1.048,1.67,0.778373032253837
2012-07-29,0.198,0.52,0.183346317791331
2012-07-30,0.001,0.01,0.0012
2012-07-31,0,0,0
2012-08-01,0.115,0.74,0.150832166199813
2012-08-02,0,0,0
2012-08-03,0,0,0
2012-08-04,0,0,0
2012-08-05,0.363,0.58,0.358063502021976
2012-08-06,0.058,0.18,0.085392653012622
2012-08-07,0,0,0
2012-08-08,0,0,0
2012-08-09,0.002,0.02,0.00166666666666667
2012-08-10,1.083,1.86,0.771347124751565
2012-08-11,0.0336363636363636,0.27,0.0635198792435634
2012-08-12,0.074,0.37,0.0690181992337165
2012-08-13,0,0,0
2012-08-14,0.00111111111111111,0.01,0.000714285714285714
2012-08-15,0.578,1.63,0.580032829606025
2012-08-16,0.009,0.07,0.00573246606334842
2012-08-17,0.184,0.56,0.182438940488476
2012-08-18,0.215454545454545,0.48,0.366791698798278
2012-08-19,0.00125,0.01,0.000714285714285714
2012-08-20,0,0,0
2012-08-21,0,0,0
2012-08-22,0.00111111111111111,0.01,0.00130252100840336
2012-08-23,0,0,0
2012-08-24,0.001,0.01,0.000555555555555556
2012-08-25,0,0.01,5e-04
2012-08-26,0.00111111111111111,0.01,0.00112121212121212
2012-08-27,0.058,0.35,0.085
2012-08-28,0.153,0.39,0.0959928279450019
2012-08-29,0,0,0
2012-08-30,0.00125,0.01,0.002
2012-08-31,0,0,0
2012-09-01,0.21625,0.92,0.155649509803922
2012-09-02,0.041,0.25,0.0629929971988796
2012-09-03,0.00125,0.01,0.000769230769230769
2012-09-04,0.343,1.88,0.81699225669991
2012-09-05,0.406,0.96,0.479232946408616
2012-09-06,0.002,0.01,0.00157894736842105
2012-09-07,0,0,0
2012-09-08,0.475,0.77,0.326749824929972
2012-09-09,0.03,0.1,0.0282142857142857
2012-09-10,0.00125,0.01,0.000666666666666667
2012-09-11,0,0,0
2012-09-12,0,0,0
2012-09-13,0.00222222222222222,0.01,0.00138888888888889
2012-09-14,0.00125,0.01,0.000526315789473684
2012-09-15,0.01,0.04,0.0138168951791243
2012-09-16,0,0,0
2012-09-17,0,0,0
2012-09-18,1.126,2.12,1.32922173223072
2012-09-19,0.035,0.24,0.0379707181259601
2012-09-20,0,0,0
2012-09-21,0.00125,0.01,0.000769230769230769
2012-09-22,0.111818181818182,0.2,0.101666666666667
2012-09-23,0.00333333333333333,0.03,0.00352941176470588
2012-09-24,0.002,0.01,0.00142156862745098
2012-09-25,0.0025,0.02,0.00142857142857143
2012-09-26,0.021,0.07,0.0268841575091575
2012-09-27,0.00666666666666667,0.03,0.00525974025974026
2012-09-28,1.314,3.08,1.17044798600952
2012-09-29,0.052,0.21,0.0681493118986725
2012-09-30,0.0217647058823529,0.13,0.0458035714285714
2012-10-01,0,0,0
2012-10-02,0.467,0.34,0.442200379845728
2012-10-03,0.014,0.03,0.0090399181064616
2012-10-04,0.255,0.45,0.218209772503719
2012-10-05,0.001,0.01,0.000526315789473684
