"date1","Hourly_RelHum_Mean","Temp_Mean","MaxTemp_Mean","AvgRelHum_Mean","Hourly_RelHum_TempMean","Hourly_RelHum_TempMax"
2017-01-30,54.6166134185303,28.875,36,49.5,15.7705471246006,19.6619808306709
2017-01-31,78.5717054263566,22.375,27.875,70.5,17.5804190891473,21.9018628875969
2017-02-01,73.8328981723238,32.875,43.875,70.5,24.2725652741514,32.3941840731071
2017-02-02,62.7484472049689,32.375,41.75,51,20.3148097826087,26.1974767080745
2017-02-03,48.4872611464968,27.25,33.125,42,13.2127786624204,16.0614052547771
2017-02-04,46.8242811501597,26.375,33.625,41,12.3499041533546,15.7446645367412
2017-02-05,51.815625,33.625,41.25,51,17.42300390625,21.3739453125
2017-02-06,49.3904761904762,35.125,42.25,47,17.3484047619048,20.8674761904762
2017-02-07,85.424882629108,33.25,36.375,84,28.4037734741784,31.073301056338
2017-02-08,80.7206572769953,45.5,56.625,74,36.7278990610329,45.7080721830986
2017-02-09,74.9507874015748,26.25,37.375,68.5,19.6745816929134,28.0128567913386
2017-02-10,56.9911764705882,20.25,29.625,56,11.5407132352941,16.8836360294118
2017-02-11,78.866485013624,31.25,38,78,24.6457765667575,29.9692643051771
2017-02-12,86.2877697841727,28.5,32.75,84.5,24.5920143884892,28.2592446043165
2017-02-13,66.7799442896936,31,35.625,59,20.701782729805,23.7903551532033
2017-02-14,65.9747634069401,26.625,37,65,17.5657807570978,24.4106624605678
2017-02-15,83.4622641509434,33.375,45.75,81,27.8555306603774,38.1839858490566
2017-02-16,54.9225806451613,31.5,36.625,54,17.3006129032258,20.1153951612903
2017-02-17,51.7923322683706,31.375,39.625,52.5,16.2498442492013,20.5227116613419
2017-02-18,58.2907348242812,36.5,52.125,59,21.2761182108626,30.3840455271566
2017-02-19,53.8821656050955,46,60.625,54,24.785796178344,32.6660628980892
2017-02-20,48.9230769230769,39.25,48.875,46.5,19.2023076923077,23.9111538461538
2017-02-21,55.4808917197452,33.875,44.625,54.5,18.7941520700637,24.7583479299363
2017-02-22,75.6528662420382,44.375,52.875,74,33.5709593949045,40.0014530254777
2017-02-23,87.095,46.5,58.625,82,40.499175,51.05944375
2017-02-24,84.3910891089109,54.5,67.5,79.5,45.9931435643564,56.9639851485149
2017-02-25,89.6621880998081,53.75,64.375,86,48.1934261036468,57.7200335892514
2017-02-26,49.3322784810127,36.125,43,47,17.8212856012658,21.2128797468354
2017-02-27,56.3873015873016,39.5,51.375,54.5,22.2729841269841,28.9689761904762
2017-02-28,82.2258823529412,45.625,56.375,73,37.5155588235294,46.3548411764706
2017-03-01,93.8405797101449,53.125,58,93.5,49.8528079710145,54.4275362318841
2017-03-02,40.9808917197452,45.875,60,38.5,18.7999840764331,24.5885350318471
2017-03-03,39.0194805194805,30.25,38.375,36.5,11.8033928571429,14.9737256493506
2017-03-04,34.4458598726115,20.75,27.5,32.5,7.14751592356688,9.47261146496815
2017-03-05,25.8621794871795,21.875,33,24,5.65735176282051,8.53451923076923
2017-03-06,38.6314102564103,28.5,43.25,39.5,11.0099519230769,16.7080849358974
2017-03-07,86.0505617977528,42.125,49.25,86.5,36.2487991573034,42.3799016853933
2017-03-08,64.9281767955801,51.75,58.125,57.5,33.6003314917127,37.7395027624309
2017-03-09,27.171974522293,48.625,56.25,26.5,13.212372611465,15.2842356687898
2017-03-10,70.3589211618257,31.875,41.875,61,22.4269061203319,29.4627982365145
2017-03-11,42.3333333333333,19.25,24.875,41.5,8.14916666666667,10.5304166666667
2017-03-12,43.1309904153355,20,28.25,41,8.62619808306709,12.1845047923323
2017-03-13,46.2523961661342,23.375,33.625,41.5,10.8114976038339,15.5523682108626
2017-03-14,84.7119155354449,29.375,35.125,83,24.884125188537,29.755060331825
2017-03-15,56.7352024922118,23.25,28.625,56,13.1909345794393,16.2404517133956
2017-03-16,47.4539682539683,29.5,37,46,13.9989206349206,17.5579682539683
2017-03-17,45.2172523961661,33.375,44.75,45,15.0912579872204,20.2347204472843
2017-03-18,56.6561514195584,30,41.625,58.5,16.9968454258675,23.5831230283912
2017-03-19,59.3794117647059,36.25,42.75,57,21.5250367647059,25.3846985294118
2017-03-20,37.3525641025641,40.625,53.125,35.5,15.1744791666667,19.8435496794872
2017-03-21,48.6527331189711,43.5,54,49,21.1639389067524,26.2724758842444
2017-03-22,38.2664576802508,31.375,40.625,34.5,12.0061010971787,15.5457484326019
2017-03-23,32.3333333333333,28.375,39.875,31.5,9.17458333333333,12.8929166666667
2017-03-24,61.6117647058824,34.875,46.25,63,21.4871029411765,28.4954411764706
2017-03-25,81.0238095238095,42.625,50.875,79.5,34.5363988095238,41.2208630952381
2017-03-26,77.2397260273973,36.875,41.75,77,28.4821489726027,32.2475856164384
2017-03-27,92.8850574712644,41,45.875,92.5,38.0828735632184,42.6110201149425
2017-03-28,92.820564516129,42.5,45,92.5,39.4487399193548,41.7692540322581
2017-03-29,65.3521594684385,46.25,55,57,30.2253737541528,35.9436877076412
2017-03-30,49.8675958188153,41.5,52.125,47,20.6950522648084,25.9934843205575
2017-03-31,89.3896353166987,38.625,41.5,90,34.5267466410749,37.0966986564299
2017-04-01,84.4245689655172,39,42,81,32.9255818965517,35.4583189655172
2017-04-02,55.0497076023392,49,61.125,48.5,26.9743567251462,33.6491337719298
2017-04-03,57.2012779552716,46.75,60.625,56.5,26.7415974440895,34.6782747603834
2017-04-04,90.9151138716356,45,47.75,90,40.911801242236,43.411966873706
2017-04-05,81.1039260969977,48.25,55.125,77.5,39.1326443418014,44.70853926097
2017-04-06,91.0402476780186,45.25,51.375,88.5,41.1957120743034,46.771927244582
2017-04-07,69.5164179104478,45.5,50.875,64,31.6299701492537,35.3664776119403
2017-04-08,47.0352564102564,45.625,53.5,44,21.4598357371795,25.1638621794872
2017-04-09,44.1019108280255,47.75,65.125,43.5,21.0586624203822,28.7213694267516
2017-04-10,53.2300319488818,55,71.125,51.5,29.276517571885,37.8598602236422
2017-04-11,63.8630573248408,62.75,78.5,60.5,40.0740684713376,50.1325
2017-04-12,71.7846153846154,59.375,71,72.5,42.6221153846154,50.9670769230769
