"date1","Reported_PrecipSum","Hourly_RelHum_Mean","Hourly_SeaPressure_Mean","Hourly_StationPressure_Mean","Hourly_Visibility_Mean","Hourly_WindDir_Mean","HourlyWindGust_Mean","HourlyWindSpeed_Mean","Hourly_Temp_Mean","Temp_Mean","AvgWindSpeed_Mean","MaxTemp_Mean","MinTemp_Mean","PeakWindSpd_Mean","PeakWindDir_Mean","AvgRelHum_Mean","AvgPressure_Mean","Precip_Max_inState","RelHumidity_Max_inState","WindGust_Max_inState","Temp_Max_inState","Precip_Sum_Calc"
2018-01-07,0,47.9220338983051,30.4664732142857,30.1745762711864,9.99837288135593,212.452830188679,3.02960526315789,6.49342105263158,6.86101694915254,5.55555555555556,6.55555555555556,17.8888888888889,-7.33333333333333,22.6666666666667,286.666666666667,48,30.2266666666667,0,78,34,25,0
2018-01-08,0.011,64.0964912280702,30.14875,29.8709649122807,8.71795321637427,216.85618729097,5.76136363636364,9.33238636363636,25.9912280701754,24.3333333333333,9.66666666666667,31.3333333333333,17,26.1111111111111,206.666666666667,62,29.9477777777778,0.01,89,28,36,0.000526315789473684
2018-01-09,0,64.7337883959044,30.1404035874439,29.8630375426621,9.67249146757679,257.248062015504,4.49006622516556,8.11920529801325,33.3174061433447,32.1111111111111,8.21111111111111,41,23.1111111111111,27.6666666666667,295.555555555556,64,29.8766666666667,0,96,30,43,0
2018-01-10,0,68.5,30.4487946428571,30.1701369863014,9.98808219178082,122.258064516129,0,3.54485049833887,28.1232876712329,24.3333333333333,3.48888888888889,36.2222222222222,11.7777777777778,14.2222222222222,248.888888888889,69,30.2166666666667,0,96,0,38,0
2018-01-11,0,90.2268907563025,30.345067264574,30.0882773109244,6.04991596638655,101.271551724138,0.0411522633744856,3.2798353909465,39.4159663865546,37.4444444444444,3.1,47.4444444444444,27.2222222222222,12.8888888888889,168.888888888889,89.5,30.1311111111111,0,100,20,55,0
2018-01-12,0.962,95.8963585434174,29.895,29.6746153846154,2.05741573033708,151.28612716763,6.36363636363636,9.31129476584022,51.766106442577,48.8888888888889,9.71111111111111,58.8888888888889,38.2222222222222,31.4444444444444,186.666666666667,98,29.7311111111111,0.34,100,33,67,0.627183166198498
2018-01-13,0.263,79.6542056074766,29.8367873303167,29.455,6.74951434878587,255.473441108545,16.8900414937759,14.1887966804979,40.8118161925602,37.25,14.3111111111111,57.25,16.5,40.2222222222222,206.666666666667,71,29.5111111111111,0.22,100,47,63,0.162687151448601
2018-01-14,0,47.7147887323944,30.5804017857143,30.2855067567568,9.98103806228374,250.037878787879,4.62295081967213,9.80327868852459,17.0669014084507,18.625,10.1333333333333,25,12,23.8888888888889,260,46.5,30.3155555555556,0,73,25,28,0
2018-01-15,0,63.807570977918,30.6321428571429,30.3554385964912,9.94433734939759,106.282051282051,1.11931818181818,8.95170454545454,18.7539432176656,18.125,9.28888888888889,23.5,12,21,26.6666666666667,57.5,30.4111111111111,0,86,26,26,0
2018-01-16,0,74.0409356725146,30.4703571428571,30.1819944598338,9.70230337078652,91.1484593837535,0.0485175202156334,2.64959568733154,27.953216374269,26.375,2.84444444444444,34.625,17.625,11.8888888888889,107.777777777778,72.5,30.2466666666667,0,93,18,38,0
2018-01-17,0.13,89.5885328836425,30.2126339285714,29.963018549747,4.941632996633,170.681818181818,0.372516556291391,4.69867549668874,32.0657672849916,27.8888888888889,5.63333333333333,35.2222222222222,20.1111111111111,20,326.666666666667,87,30.0044444444444,0.05,100,22,38,0.0244489250838675
2018-01-18,0,64.0101694915254,30.0054910714286,29.7190508474576,9.95108108108108,236.325088339223,2.50491803278689,6.42950819672131,22.4813559322034,21.5555555555556,7.22222222222222,30.5555555555556,12.2222222222222,23.3333333333333,326.666666666667,64,29.7811111111111,0,92,28,34,0
2018-01-19,0,67.2393442622951,29.9954910714286,29.7130819672131,9.66977049180328,189.746376811594,0.054140127388535,4.49044585987261,25.8393442622951,26.2222222222222,4.62222222222222,35,16.6666666666667,16.6666666666667,263.333333333333,66.5,29.7733333333333,0,92,17,38,0
2018-01-20,0,60.8122866894198,29.8714349775785,29.5992491467577,9.93952218430034,197.7734375,4.00993377483444,6.8476821192053,37.8668941979522,37,6.82222222222222,47.8888888888889,25.2222222222222,25.7777777777778,245.555555555556,62.5,29.6355555555556,0,92,32,52,0
2018-01-21,0,73.0830564784053,30.1376339285714,29.8633554817276,9.53328903654485,92.9896907216495,0,2.09354838709677,36.4750830564784,36.6666666666667,1.64444444444444,47.6666666666667,25.1111111111111,12.2222222222222,232.222222222222,75,29.8966666666667,0,100,0,50,0
2018-01-22,0.012,91.3931818181818,30.1846428571429,29.9237272727273,3.99602272727273,66.5727699530516,0,4.54,38.3818181818182,38.5555555555556,5.02222222222222,42.1111111111111,34.6666666666667,16.3333333333333,95.5555555555556,92,29.9655555555556,0.02,100,0,45,0.00706179050567595
2018-01-23,0.586,94.8487394957983,29.7289285714286,29.4911260504202,3.52159663865546,151.574239713775,4.18512396694215,7.4396694214876,44.6689075630252,44.3333333333333,7.02222222222222,51.6666666666667,36.5555555555556,28.8888888888889,203.333333333333,94.5,29.5444444444444,0.34,100,37,59,0.379404103325361
2018-01-24,0,58.3016949152542,29.9020535714286,29.624527027027,9.99837288135593,290.306513409962,8.05573770491803,9.75409836065574,34.8508474576271,32.2222222222222,10.2666666666667,41.5555555555556,22.4444444444444,27.7777777777778,301.111111111111,60,29.6377777777778,0,89,34,43,0
2018-01-25,0,38.9761904761905,30.3460714285714,30.0580612244898,9.99836734693878,308.528301886792,10.1947194719472,10.0858085808581,24.5374149659864,25.6666666666667,10.3111111111111,31.3333333333333,19.4444444444444,31.7777777777778,323.333333333333,37.5,30.08,0,68,31,33,0
2018-01-26,0,44.0745762711864,30.6491071428571,30.3621694915254,9.99498305084746,192.924187725632,0.0526315789473684,4.97368421052632,26.471186440678,25.4444444444444,5.13333333333333,35.4444444444444,15.1111111111111,16.8888888888889,280,44,30.41,0,81,16,37,0
2018-01-27,0,73.2598684210526,30.3983928571429,30.1239473684211,9.74355263157895,162.94776119403,4.81789137380192,7.27476038338658,38.7861842105263,35.6666666666667,7.18888888888889,49.6666666666667,21.2222222222222,25.3333333333333,211.111111111111,72.5,30.2044444444444,0,100,29,52,0
2018-01-28,0.102,90.7473233404711,30.2361160714286,30.015182012848,4.76492505353319,98.0132450331126,0.29979035639413,2.49895178197065,43.3533190578158,42.5555555555556,2.88888888888889,49.5555555555556,35.1111111111111,18.2222222222222,207.777777777778,86,30.01,0.04,100,26,52,0.0754579402569859
2018-01-29,0,66.3931888544892,30.1753811659193,29.8982352941176,9.62467492260062,55.3503184713376,5.57057057057057,10.0600600600601,36.8947368421053,36.8888888888889,10.3666666666667,43.1111111111111,30.2222222222222,26.4444444444444,35.5555555555556,65,29.97,0,100,29,45,0
2018-01-30,0.043,75.9406952965235,29.9795089285714,29.7316806722689,5.26519507186858,250.669546436285,6.39879759519038,10.3927855711423,27.640081799591,28.7777777777778,10.6777777777778,35.7777777777778,21.5555555555556,28.6666666666667,257.777777777778,68.5,29.7444444444444,0.01,96,32,37,0.000714285714285714
2018-01-31,0,55.2387543252595,30.1520179372197,29.9187159533074,9.99833910034602,248.941176470588,3.88235294117647,8.0359477124183,24.8373702422145,24.3333333333333,8.66666666666667,32.3333333333333,15.8888888888889,25.5555555555556,287.777777777778,52,30.0025,0,77,29,35,0
2018-02-01,0.096,73.2539184952978,29.9543693693694,29.6745141065831,8.7133855799373,162.348993288591,0.699088145896657,5.48936170212766,35.3699059561129,36.1111111111111,5.63333333333333,41.7777777777778,29.8888888888889,20,218.888888888889,73,29.7511111111111,0.08,100,23,44,0.0523207877648667
2018-02-02,0.186,71.5617715617716,30.0021076233184,29.669696969697,6.40293706293706,256.624365482233,14.5170842824601,10.7061503416856,26.8041958041958,24.1111111111111,13.2111111111111,35.2222222222222,12.5555555555556,35.6666666666667,308.888888888889,60.5,29.7277777777778,0.11,100,38,37,0.0858694316436252
2018-02-03,0,52.8754208754209,30.3636607142857,30.0801346801347,9.99838383838384,219.123505976096,4.58823529411765,8.27450980392157,20.5488215488216,19.8888888888889,8.91111111111111,29.2222222222222,10.1111111111111,24.2222222222222,248.888888888889,50.5,30.1277777777778,0,83,28,31,0
2018-02-04,0.692,82.9472573839662,30.0795067264574,29.7205696202532,6.33512658227848,142.483801295896,0.601239669421488,6.13223140495868,39.2172995780591,36.1111111111111,7.03333333333333,44.7777777777778,26.8888888888889,21.8888888888889,198.888888888889,75,29.9055555555556,0.37,100,24,47,0.405340948250036
2018-02-05,0.038,70.3538083538083,29.9336866359447,29.5935024154589,8.53603864734299,261.397849462366,6.58254716981132,8.54716981132075,34.9164619164619,31.5555555555556,9.46666666666667,43.2222222222222,19.4444444444444,35,317.777777777778,58,29.6477777777778,0.14,100,37,48,0.0291780716423165
2018-02-06,0.001,64.4859813084112,30.3839461883408,30.1060869565217,9.27600628930818,127.641196013289,0,2.93975903614458,26.3302180685358,26.2222222222222,3.12222222222222,33.8888888888889,18,13.7777777777778,220,63.5,30.1355555555556,0,91,0,35,0
2018-02-07,0.512,85.5,30.2163677130045,29.9088661710037,5.31124535315985,127.673956262425,2.23722627737226,6.41788321167883,29.8903345724907,30.6666666666667,6.81111111111111,39.7777777777778,21.1111111111111,30.3333333333333,316.666666666667,83,30.0288888888889,0.36,100,36,50,0.302626129629765
2018-02-08,0,61.8501628664495,30.2936771300448,30.0072459016393,9.93980456026059,273.814814814815,6.10126582278481,8.54746835443038,26.5081433224756,25.6666666666667,8.61111111111111,31.1111111111111,19.7777777777778,29.3333333333333,321.111111111111,63.5,30.0311111111111,0,92,36,33,0
2018-02-09,0.002,73.9846153846154,30.5005381165919,30.2155384615385,8.57550769230769,132.057877813505,0.119402985074627,4.11044776119403,25.6123076923077,23.5555555555556,4.28888888888889,32.3333333333333,14.4444444444444,17.3333333333333,200,73,30.2622222222222,0,96,20,35,0
2018-02-10,0.305,92.005905511811,30.2233031674208,29.9449803149606,4.98584645669291,74.2626262626263,0,2.27220077220077,40.4251968503937,38.6666666666667,2.16666666666667,47.2222222222222,29.6666666666667,12.5,193.75,90,30.0288888888889,0.25,100,0,52,0.188905117426857
2018-02-11,0.779,97.2484756097561,29.9752314814815,29.7626676829268,1.9015243902439,87.392,0.60960960960961,3.17417417417417,44.6448170731707,45,3.62222222222222,51.2222222222222,38.4444444444444,19.2222222222222,202.222222222222,97,29.7811111111111,0.23,100,28,58,0.445531290615836
2018-02-12,0.003,70.6837837837838,30.3061434977578,29.9693513513514,7.98416216216216,297.435158501441,7.41315789473684,9.85,41.3567567567568,41.2222222222222,10.4333333333333,53.5555555555556,28.1111111111111,28.3333333333333,324.444444444444,63.5,30.0055555555556,0.02,100,29,60,0.00180129468055165
2018-02-13,0,53.3175675675676,30.7417410714286,30.4567905405405,9.99837837837838,191.785714285714,2.31147540983607,7.32459016393443,28.4628378378378,29.1111111111111,7.88888888888889,35.3333333333333,22.4444444444444,23.8888888888889,225.555555555556,52.5,30.52,0,85,28,37,0
2018-02-14,0.004,77.2449567723343,30.2578125,30.0093083573487,9.74789625360231,155.741324921136,0.649859943977591,5.0672268907563,37.0634005763689,38.6666666666667,5.56666666666667,48.2222222222222,28.6666666666667,22.4444444444444,258.888888888889,76.5,30.0833333333333,0.02,100,26,51,0.00203409090909091
2018-02-15,0.107,95.010152284264,29.8336036036036,29.6309983079526,2.46818950930626,147.978142076503,0.0549084858569052,4.19134775374376,43.4348561759729,44.25,4.3625,50.625,37.25,14.875,211.25,94.5,29.72,0.16,100,17,57,0.0967977596234175
2018-02-16,0.07,86.2827324478178,29.7100471698113,29.4277186311787,5.60322580645161,178.803245436105,4.82495344506518,5.75791433891993,46.6641366223909,45.2222222222222,7.45,54.7777777777778,35.2222222222222,33.6666666666667,320,77,29.4611111111111,0.03,100,41,57,0.0462601081409131
2018-02-17,0.317,66.9895561357702,30.2765625,29.9881984334204,6.37624020887728,146.871508379888,1.33587786259542,6,32.266318537859,32.3333333333333,7,38.5555555555556,25.8888888888889,24.7777777777778,237.777777777778,62,30.0522222222222,0.07,100,26,40,0.00170731707317073
2018-02-18,0.077,76.8591885441527,30.2490625,29.9108114558473,7.37202863961814,187.989949748744,3.52913752913753,5.64335664335664,33.9355608591885,34.2222222222222,6.91111111111111,43.2222222222222,24.7777777777778,32.6666666666667,334.444444444444,69.5,29.9677777777778,0.06,100,37,45,0.012993487993488
2018-02-19,0.122,85.2885714285714,30.4530392156863,30.1711749347258,7.17216710182768,135.571030640669,1.38422391857506,5.24681933842239,39.52,34.5,4.98888888888889,47,21.625,21.7777777777778,191.111111111111,84,30.2377777777778,0.07,100,29,51,0.0855338747955116
2018-02-20,0.001,91.3325,30.2930150753769,30.0661305361305,4.32114219114219,178.664987405542,1.21867881548975,6.17312072892939,50.2375,53.25,6.44444444444444,62,44.125,19.7777777777778,216.666666666667,87,30.0733333333333,0.01,100,24,68,0.00181818181818182
2018-02-21,0.004,85.2720588235294,30.2729223744292,30.0411029411765,5.08248768472906,197.606382978723,2.26794258373206,7.24162679425837,55.8333333333333,59,7.98888888888889,70.7777777777778,46.6666666666667,26,316.666666666667,78.5,30.0466666666667,0.04,100,28,77,0.00181818181818182
2018-02-22,0.151,75.0913838120104,30.5979910714286,30.3490600522193,8.45827676240209,116.133333333333,0.636132315521629,7.63104325699746,39.8694516971279,44.2222222222222,8.74444444444445,55,33,24.6666666666667,127.777777777778,71,30.3944444444444,0.16,100,22,57,0.0908894096099979
